open_margin_db,close_margin_db,peak_open_margin_db,release_ms,hold_ms,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
15.0,5.0,12.0,200.0,100.0,0.3333,10,20,0.2385,1.7891,352.83,593.27,30
15.0,5.0,12.0,200.0,200.0,0.3333,10,20,0.2385,1.7891,352.83,593.27,30
8.0,7.0,12.0,200.0,100.0,0.3,9,21,0.3031,1.7298,450.68,765.5,30
8.0,7.0,12.0,200.0,200.0,0.3,9,21,0.3031,1.7298,450.68,765.5,30
10.0,7.0,12.0,200.0,100.0,0.3,9,21,0.3031,1.7185,450.68,765.5,30
10.0,7.0,12.0,200.0,200.0,0.3,9,21,0.3031,1.7185,450.68,765.5,30
12.0,7.0,12.0,200.0,100.0,0.3,9,21,0.3031,1.7185,450.68,765.5,30
12.0,7.0,12.0,200.0,200.0,0.3,9,21,0.3031,1.7185,450.68,765.5,30
15.0,7.0,12.0,200.0,100.0,0.3,9,21,0.3031,1.7185,450.68,765.5,30
15.0,7.0,12.0,200.0,200.0,0.3,9,21,0.3031,1.7185,450.68,765.5,30
