open_margin_db,sustain_margin_db,close_margin_db,release_ms,hold_ms,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
18.0,4.0,2.0,600.0,250.0,0.4,12,18,1.5087,0.8674,11.86,43.51,30
18.0,4.0,4.0,600.0,150.0,0.4,12,18,1.5087,0.864,11.86,43.51,30
18.0,4.0,4.0,600.0,250.0,0.4,12,18,1.5087,0.864,11.86,43.51,30
18.0,6.0,1.0,600.0,150.0,0.4,12,18,1.5087,0.8754,11.86,43.51,30
18.0,6.0,1.0,600.0,250.0,0.4,12,18,1.5087,0.8754,11.86,43.51,30
18.0,6.0,2.0,600.0,150.0,0.4,12,18,1.5087,0.8674,11.86,43.51,30
18.0,6.0,2.0,600.0,250.0,0.4,12,18,1.5087,0.8674,11.86,43.51,30
18.0,6.0,4.0,600.0,150.0,0.4,12,18,1.5087,0.864,11.86,43.51,30
18.0,6.0,4.0,600.0,250.0,0.4,12,18,1.5087,0.864,11.86,43.51,30
18.0,8.0,1.0,600.0,150.0,0.4,12,18,1.5087,0.8754,11.86,43.51,30
18.0,8.0,1.0,600.0,250.0,0.4,12,18,1.5087,0.8754,11.86,43.51,30
18.0,8.0,2.0,600.0,150.0,0.4,12,18,1.5087,0.8674,11.86,43.51,30
18.0,8.0,2.0,600.0,250.0,0.4,12,18,1.5087,0.8674,11.86,43.51,30
18.0,8.0,4.0,600.0,150.0,0.4,12,18,1.5087,0.864,11.86,43.51,30
18.0,8.0,4.0,600.0,250.0,0.4,12,18,1.5087,0.864,11.86,43.51,30
10.0,4.0,2.0,250.0,150.0,0.3667,11,19,0.6527,0.9693,349.32,325.12,30
10.0,4.0,2.0,250.0,250.0,0.3667,11,19,0.6527,0.9693,349.32,325.12,30
10.0,6.0,1.0,250.0,150.0,0.3667,11,19,0.656,0.9633,349.99,363.79,30
10.0,6.0,1.0,250.0,250.0,0.3667,11,19,0.656,0.9633,349.99,363.79,30
10.0,4.0,4.0,250.0,150.0,0.3667,11,19,0.6607,0.9367,349.32,329.18,30
10.0,4.0,4.0,250.0,250.0,0.3667,11,19,0.6607,0.9367,349.32,329.18,30
10.0,6.0,2.0,250.0,150.0,0.3667,11,19,0.6647,0.924,349.32,337.12,30
10.0,6.0,2.0,250.0,250.0,0.3667,11,19,0.6647,0.924,349.32,337.12,30
18.0,4.0,1.0,250.0,150.0,0.3667,11,19,1.5278,0.5411,11.84,164.64,30
18.0,4.0,1.0,250.0,250.0,0.3667,11,19,1.5278,0.5411,11.84,164.64,30
18.0,4.0,2.0,250.0,150.0,0.3667,11,19,1.5311,0.5391,11.84,167.97,30
18.0,4.0,2.0,250.0,250.0,0.3667,11,19,1.5311,0.5391,11.84,167.97,30
18.0,6.0,1.0,250.0,150.0,0.3667,11,19,1.5478,0.5398,11.84,164.64,30
18.0,6.0,1.0,250.0,250.0,0.3667,11,19,1.5478,0.5398,11.84,164.64,30
18.0,8.0,1.0,250.0,150.0,0.3667,11,19,1.5478,0.5398,11.84,164.64,30
18.0,8.0,1.0,250.0,250.0,0.3667,11,19,1.5478,0.5398,11.84,164.64,30
18.0,6.0,2.0,250.0,150.0,0.3667,11,19,1.5511,0.5271,11.84,167.97,30
18.0,6.0,2.0,250.0,250.0,0.3667,11,19,1.5511,0.5271,11.84,167.97,30
18.0,8.0,2.0,250.0,150.0,0.3667,11,19,1.5511,0.5271,11.84,167.97,30
18.0,8.0,2.0,250.0,250.0,0.3667,11,19,1.5511,0.5271,11.84,167.97,30
18.0,4.0,4.0,250.0,150.0,0.3667,11,19,1.6098,0.5371,165.18,60.64,30
18.0,4.0,4.0,250.0,250.0,0.3667,11,19,1.6098,0.5371,165.18,60.64,30
18.0,6.0,4.0,250.0,150.0,0.3667,11,19,1.6098,0.5218,165.18,60.64,30
18.0,6.0,4.0,250.0,250.0,0.3667,11,19,1.6098,0.5218,165.18,60.64,30
18.0,8.0,4.0,250.0,150.0,0.3667,11,19,1.6298,0.5218,165.18,80.64,30
18.0,8.0,4.0,250.0,250.0,0.3667,11,19,1.6298,0.5218,165.18,80.64,30
10.0,4.0,1.0,250.0,150.0,0.3333,10,20,0.6393,0.9947,349.99,319.79,30
10.0,4.0,1.0,250.0,250.0,0.3333,10,20,0.6393,0.9947,349.99,319.79,30
