open_margin_db,close_margin_db,release_ms,hold_ms,noise_ema_tc_closed,cutoff_hz,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
10.0,2.0,300.0,250.0,1.0,80.0,0.4,6,9,0.956,0.4437,45.56,1559.77,15
10.0,6.0,500.0,100.0,0.3,200.0,0.4,6,9,1.0555,0.9072,297.84,989.3,15
10.0,6.0,500.0,250.0,0.3,200.0,0.4,6,9,1.0555,0.9072,297.84,989.3,15
10.0,4.0,300.0,100.0,1.0,120.0,0.4,6,9,1.086,0.443,359.79,1365.77,15
10.0,4.0,300.0,250.0,1.0,120.0,0.4,6,9,1.086,0.443,359.79,1365.77,15
10.0,6.0,300.0,100.0,0.3,200.0,0.4,6,9,1.3079,0.6889,611.01,1276.44,15
10.0,6.0,300.0,250.0,0.3,200.0,0.4,6,9,1.3079,0.6889,611.01,1276.44,15
12.0,6.0,500.0,100.0,1.0,200.0,0.4,6,9,1.3304,0.5394,72.23,1462.21,15
12.0,6.0,500.0,250.0,1.0,200.0,0.4,6,9,1.3304,0.5394,72.23,1462.21,15
12.0,6.0,500.0,100.0,0.3,200.0,0.4,6,9,1.6166,0.8083,677.84,882.79,15
12.0,6.0,500.0,250.0,0.3,200.0,0.4,6,9,1.6166,0.8083,677.84,882.79,15
12.0,4.0,300.0,100.0,0.3,120.0,0.4,6,9,1.8399,0.6396,991.01,964.44,15
12.0,4.0,300.0,250.0,0.3,120.0,0.4,6,9,1.8399,0.6396,991.01,964.44,15
6.0,2.0,300.0,100.0,0.3,120.0,0.3333,5,10,0.4551,1.2321,358.53,1047.97,15
6.0,2.0,300.0,250.0,0.3,120.0,0.3333,5,10,0.4551,1.2321,358.53,1047.97,15
6.0,2.0,300.0,100.0,0.3,200.0,0.3333,5,10,0.4565,1.1921,358.53,1047.97,15
6.0,2.0,300.0,250.0,0.3,200.0,0.3333,5,10,0.4565,1.1921,358.53,1047.97,15
6.0,2.0,500.0,100.0,0.3,200.0,0.3333,5,10,0.4717,1.4127,12.51,1031.97,15
6.0,2.0,500.0,250.0,0.3,200.0,0.3333,5,10,0.4717,1.4127,12.51,1031.97,15
6.0,4.0,500.0,100.0,0.3,200.0,0.3333,5,10,0.4757,1.2834,12.51,1045.3,15
